,name,floorSize,price,lat,lng
126," 945 E Foxhill Dr Fresno, CA 93720 ","1,270 sqft","$241,800",36.867096,-119.76542
127," 1935 N Crescent Heights Blvd Los Angeles, CA 90069 ","2,480 sqft","$2,250,000",34.10408,-118.37009
128," 4135 Ohio St #3 San Diego, CA 92104 ",908 sqft,"$510,000",32.752914,-117.12857
129," 5555 N Lucy Ruiz Ave Fresno, CA 93723 ","3,040 sqft","$485,000",36.81604,-119.9252
130," 3785 Wilshire Blvd #812 Los Angeles, CA 90010 ","1,690 sqft","$1,349,000",34.06277,-118.30871
131," 2395 26th Ave #1 San Francisco, CA 94116 ",802 sqft,"$815,000",37.74292,-122.48347
132," Residence 4 Plan in Verge at Novel Park by William Lyon Homes Irvine, CA 92618 ","1,631 sqft","$708,990+",33.69346,-117.7352
133," 1503 Menlo Ave Los Angeles, CA 90006 ","5,563 sqft","$2,200,000",34.04512,-118.29077
134," 3813 Goldbar Dr Bakersfield, CA 93312 ","1,242 sqft","$198,859",35.394844,-119.109566
135," 18165 Mariposa Ave Riverside, CA 92508 ","2,278 sqft","$559,900",33.872272,-117.34638
136," 932 Kilmarnock Way Riverside, CA 92508 ","2,125 sqft","$479,900",33.91461,-117.31523
137," 555 Fulton St #313 San Francisco, CA 94102 ",864 sqft,"$1,199,000",37.778168,-122.42575
138," 1005 30th St San Diego, CA 92102 ","1,199 sqft","$699,000",32.71616,-117.1294
139," 2730 Hollyridge Dr Los Angeles, CA 90068 ","1,977 sqft","$1,675,000",34.116474,-118.318665
140," 9912 Pavilion Dr Bakersfield, CA 93312 ","1,600 sqft","$299,950",35.426743,-119.11271
141," 1126 Latigo Cv #3 Chula Vista, CA 91915 ","1,321 sqft","$429,000",32.63825,-116.97013
142," 711 E Taylor St San Jose, CA 95112 ","2,058 sqft","$1,098,000",37.356308,-121.88574
143," 345 N Sycamore Ave Los Angeles, CA 90036 ","7,384 sqft","$2,995,000",34.07758,-118.343254
144," 10115 River Falls Cir Stockton, CA 95209 ","1,386 sqft","$369,950",38.043476,-121.346855
145," 3711 Lindbergh St San Diego, CA 92154 ","1,375 sqft","$469,000",32.586433,-117.05362
146," 4543 Narragansett Ave San Diego, CA 92107 ","1,044 sqft","$995,000",32.740227,-117.2448
147," 4021 Norton Ave Oakland, CA 94602 ","1,349 sqft","$825,000",37.798584,-122.19653
148," 5623 Impatiens Cmn Fremont, CA 94538 ",850 sqft,"$659,000",37.523415,-121.98531
149," 489 S Country Hill Rd Anaheim, CA 92808 ","3,046 sqft","$1,224,900",33.852066,-117.75519
150," 7513 Dos Rios Way Bakersfield, CA 93309 ","3,169 sqft","$485,000",35.347828,-119.086914
151," 6726 N Figueroa St Los Angeles, CA 90042 ","6,478 sqft","$1,995,000",34.124405,-118.18535
152," 1651 Burr Oak Pl Chula Vista, CA 91915 ","1,564 sqft","$399,000",32.62972,-116.940865
153," 2511 W 4th St Los Angeles, CA 90057 ","2,093 sqft","$1,200,000",34.064552,-118.27732
154," 408 A Ave Coronado, CA 92118 ","1,950 sqft","$1,850,000",32.69291,-117.17189
155," 420 Orange Ave Long Beach, CA 90802 ","8,672 sqft","$3,999,000",33.7725,-118.17579
156," 1239 Highridge St Riverside, CA 92506 ","2,088 sqft","$584,900",33.90573,-117.37249
157," 16020 Highland Dr San Jose, CA 95127 ","2,598 sqft","$1,499,000",37.389915,-121.81616
158," 11740 Calamar Dr San Diego, CA 92124 ","1,588 sqft","$745,000",32.819542,-117.07888
159," 1247 Silverado St La Jolla, CA 92037 ","1,250 sqft","$3,475,000",32.846794,-117.2704
160," 5520 Ensenada Way Riverside, CA 92504 ","1,517 sqft","$420,000",33.94803,-117.42338
161," 8905 Davis Rd #F37 Stockton, CA 95209 ",696 sqft,"$148,000",38.031395,-121.33266
162," 4857 N West Ave Fresno, CA 93705 ","1,476 sqft","$267,000",36.806053,-119.82688
163," 2946 Finch St Los Angeles, CA 90039 ","2,316 sqft","$1,395,000",34.111343,-118.26116
164," 3334 Over St Oakland, CA 94619 ","2,875 sqft","$230,000",37.7894,-122.20126
165," 7334 Satsuma Ave Sun Valley, CA 91352 ","1,144 sqft","$539,900",34.20395,-118.366905
166," 5509 Picker St Riverside, CA 92503 ","1,269 sqft","$375,000",33.93688,-117.46232
167," 1315 W 56th St Los Angeles, CA 90037 ",951 sqft,"$413,500",33.99175,-118.29859
168," 3110 Adeline St #116 Oakland, CA 94608 ",975 sqft,"$589,000",37.822735,-122.28082
169," 3727-31 Central Ave San Diego, CA 92105 ","1,476 sqft","$675,000",32.746536,-117.10785
170," 318 Main St #3E San Francisco, CA 94105 ","1,098 sqft","$1,398,000",37.788803,-122.391655
171," 17131 Roscoe Blvd #8 Northridge, CA 91325 ","1,368 sqft","$382,500",34.22207,-118.50535
172," 3207 14th Ave Oakland, CA 94602 ","3,584 sqft","$1,090,000",37.79985,-122.228546
173," 850 Beech St #1301 San Diego, CA 92101 ","1,142 sqft","$725,000",32.721348,-117.156975
174," 1325 Pacific Hwy #103 San Diego, CA 92101 ","1,448 sqft","$799,000",32.719265,-117.17052
175," 7750 Woodrow Wilson Dr Los Angeles, CA 90046 ","1,773 sqft","$1,995,000",34.12164,-118.36569
176," 2122 Castle Heights Ave Los Angeles, CA 90034 ","4,192 sqft","$4,200,000",34.04419,-118.39762
177," 4534 Alice St San Diego, CA 92115 ","1,222 sqft","$750,000",32.75985,-117.07204
178," 4233 Allott Ave Sherman Oaks, CA 91423 ","4,000 sqft","$1,379,000",34.14647,-118.4284
179," 2187 Summitridge Dr Beverly Hills, CA 90210 ","4,100 sqft","$5,920,000",34.113354,-118.42285
180," 2253 Berger St Bakersfield, CA 93305 ","1,096 sqft","$109,000",35.39247,-118.978004
181," 2887 Custer Dr San Jose, CA 95124 ","1,250 sqft","$1,088,000",37.269585,-121.91681
182," 1218 E 54th St Los Angeles, CA 90011 ","2,010 sqft","$555,900",33.993656,-118.25372
183," 3933 Arlington Ave Los Angeles, CA 90008 ","2,628 sqft","$675,000",34.01334,-118.31854
184," 16879 Mooncrest Dr Encino, CA 91436 ","1,700 sqft","$1,400,000",34.147396,-118.50158
185," 309-315 Potrero Ave San Francisco, CA 94103 ","8,381 sqft","$3,995,000",37.76551,-122.40718
186," 3411 Malabar St Los Angeles, CA 90063 ","3,289 sqft","$1,560,000",34.04447,-118.19036
187," 1031 W 109th Pl Los Angeles, CA 90044 ",864 sqft,"$389,900",33.93667,-118.293045
188," 7965 Purple Sage San Diego, CA 92127 ","3,878 sqft","$1,395,000",32.981735,-117.162315
189," 4939 Grange Ter Fremont, CA 94555 ",716 sqft,"$529,950",37.56284,-122.04655
190," 18950 Caminito Cantilena #27 San Diego, CA 92128 ","1,998 sqft","$739,000",33.053986,-117.06977
191," 2304 Richland Ave San Jose, CA 95125 ","1,950 sqft","$1,720,000",37.28793,-121.88972
192," 8086 Mission Blvd #37 Riverside, CA 92509 ","1,620 sqft","$149,000",34.01081,-117.459694
193," 15620 Olden St Sylmar, CA 91342 ","2,400 sqft","$900,000",34.31893,-118.4718
194," 1276 Poker Flat Pl San Jose, CA 95120 ","2,388 sqft","$1,218,000",37.233036,-121.88086
195," 943 Lombard St San Francisco, CA 94133 ","1,174 sqft","$1,999,999",37.80195,-122.41703
196," Residence 3 Plan in Altair Irvine : Starlight by Lennar Irvine, CA 92618 ","4,066 sqft","$1,874,990+",33.6812,-117.714
197," 4924 Arlington Ave Los Angeles, CA 90043 ","1,447 sqft","$589,900",33.998234,-118.31784
198," 3115 Olive St San Diego, CA 92104 ","2,601 sqft","$1,749,000",32.734974,-117.126465
199," 1311 5th Ave Los Angeles, CA 90019 ","4,724 sqft","$1,375,000",34.04697,-118.322754
200," 3645 Cardiff Ave #112 Los Angeles, CA 90034 ","1,039 sqft","$639,000",34.027752,-118.39854
201," 5301 Balboa Blvd #H10 Van Nuys, CA 91316 ","1,787 sqft","$525,000",34.16692,-118.50202
202," 1271 W 83rd St Los Angeles, CA 90044 ","2,027 sqft","$525,000",33.9639,-118.298294
203," 3721 El Sereno Ave Los Angeles, CA 90032 ",840 sqft,"$629,000",34.089306,-118.17823
204," 10910 Academy Ave Bakersfield, CA 93312 ","1,918 sqft","$325,000",35.40047,-119.12421
