,name,floorSize,price,lat,lng
147,"4554 Matilija Ave, Sherman Oaks, CA 91423","2,454 sqft","$1,799,000",34.154065,-118.4339346
148,"9726 Amanita Ave, Tujunga, CA 91042","1,384 sqft","$990,000",34.244393,-118.267686
149,"18305 Oakbury Cir, Tarzana, CA 91356","1,400 sqft","$849,000",34.217027,-118.889779
150,"7012 Oso Ave, Winnetka, CA 91306","1,232 sqft","$749,900",34.1978695,-118.575252
151,"7918 Berger Ave, Playa Del Rey, CA 90293","5,100 sqft","$4,650,000",33.9645155,-118.4313208
152,"4661 Wilshire Blvd UNIT 205, Los Angeles, CA 90010","1,460 sqft","$1,200,000",34.062042,-118.330527
153,"9555 Heather Rd, Beverly Hills, CA 90210","15,505 sqft","$22,950,000",34.103305,-118.404136
154,"17528 Jayden Ln, Encino, CA 91316","11,173 sqft","$12,495,000",34.1686806,-118.5145104
155,"4437 Avocado St APT 101, Los Angeles, CA 90027","1,354 sqft","$1,009,000",34.1110653,-118.2861037
156,"1441 Federal Ave APT 303, Los Angeles, CA 90025","1,075 sqft","$774,888",34.0462241,-118.45541
157,"5525 Canoga Ave APT 315, Woodland Hills, CA 91367",610 sqft,"$395,000",34.1710694,-118.5975311
158,"7418 S Hobart Blvd, Los Angeles, CA 90047","2,048 sqft","$949,900",33.9724868,-118.3077556
159,"100 S Mapleton Dr, Los Angeles, CA 90024","8,224 sqft","$28,000,000",34.082512,-118.432568
160,"162 N Carmelina Ave, Los Angeles, CA 90049","3,138 sqft","$7,150,000",34.059318,-118.482366
161,"3551 Monterey Rd, Los Angeles, CA 90032",445 sqft,"$533,900",34.0874542,-118.1876098
162,"8641 Glenoaks Blvd UNIT 201, Sun Valley, CA 91352",825 sqft,"$400,000",34.2266758,-118.3635386
163,"8100 Airlane Ave, Los Angeles, CA 90045","1,806 sqft","$1,999,999",33.9650508,-118.3902991
164,"8860 Burnet Ave, North Hills, CA 91343","1,427 sqft","$697,000",34.2310991,-118.4631663
165,"1400 N Vista St UNIT 4, Los Angeles, CA 90046","1,220 sqft","$850,000",34.0962176,-118.3516356
